"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
188.9,484.4,80,2552.3,"2022-03-08",305.7,"2269N0459314Z","69003",79.6,0,"appartement",85.8,34.1,0,"B",29.891544
155.2,NA,23.5,3029.5,"2022-04-08",410.3,"2269N0742376Z","69003",37,18.5,"appartement",213,89.6,0,"C",29.891544
256.2,1873.7,104.3,3784.8,"2022-02-15",459.8,"2269N0296892Z","69003",50.8,0,"appartement",161.9,80.1,0,"C",29.891544
95.3,231.1,69.6,1665.5,"2022-02-23",203.5,"2269N0362686N","69003",69.2,0,"appartement",81.3,26,0,"A",29.891544
440.2,899.4,150.2,5599.8,"2022-01-17",743.9,"2269N0087564X","69003",80.2,32.2,"appartement",235.2,80.8,0,"C",29.891544
186.6,NA,28.2,3459.9,"2022-04-08",469.8,"2269N0743898N","69003",44.5,22.2,"appartement",232.8,85.3,0,"C",29.891544
445,148.4,89,11076.3,"2022-07-19",1339,"2169N1045514C","69003",148.4,0,"immeuble",753,79.8,0,"C",29.891544
409.5,1873.7,167.6,5446.8,"2022-02-15",668.1,"2269N0296921C","69003",81.6,0,"appartement",191.7,72.3,0,"C",29.891544
187.6,NA,28.4,3474.3,"2022-04-08",471.8,"2269N0744011W","69003",44.7,22.4,"appartement",233.5,85.2,0,"C",29.891544
408.4,484.4,167.4,5537.2,"2022-03-08",655.6,"2269N0459418Z","69003",79.5,0,"appartement",190.6,73.3,0,"C",29.891544
150.4,899.4,70.5,2774.3,"2022-01-18",355.3,"2269N0094720D","69003",37.6,15.1,"appartement",172.8,82.7,0,"C",29.891544
611.2,899.4,190.1,7153.5,"2022-01-18",958.6,"2269N0094715Y","69003",101.5,40.7,"appartement",260.7,82.2,0,"C",29.891544
278.8,NA,42.2,3945,"2022-04-08",544.8,"2269N0743907W","69003",66.4,33.2,"appartement",190.6,66.2,0,"C",29.891544
242.1,1873.7,85.7,3503.5,"2022-02-15",423.2,"2269N0296911S","69003",41.7,0,"appartement",146.9,89.9,0,"C",29.891544
178.3,NA,27,3346.8,"2022-04-08",454.2,"2269N0743924N","69003",42.5,21.3,"appartement",227.6,86.3,0,"C",29.891544
455.2,422.4,55.9,6535.8,"2022-11-15",759.1,"2269N2702621A","69003",95.7,34.9,"appartement",213.2,74,0,"C",29.891544
413.8,1873.7,180.7,5556.3,"2022-02-15",683.7,"2269N0296903K","69003",87.9,0,"appartement",197.9,68.6,0,"C",29.891544
442.8,NA,69.3,6014.1,"2022-04-08",812.4,"2269N0743880V","69003",109,54.5,"appartement",245.9,61.8,0,"C",29.891544
632,147.5,70,7381,"2022-02-23",959,"2269N0362800X","69003",147.5,0,"maison",215,61.6,0,"B",29.891544
237.8,231.1,158,4002.1,"2022-03-08",486.9,"2269N0459412T","69003",63.9,0,"appartement",188,67.4,0,"C",29.891544
321.6,1873.7,126,4464.3,"2022-02-15",544.1,"2269N0296910R","69003",61.3,0,"appartement",172.2,78.4,0,"C",29.891544
138.2,484.4,64.1,2018.9,"2022-03-08",242,"2269N0459306R","69003",63.8,0,"appartement",78.9,33.6,0,"B",29.891544
344.8,339.3,43.1,5007.7,"2022-11-15",620.7,"2269N2702639S","69003",77,28.8,"appartement",203.9,71,0,"C",29.891544
297.2,899.4,90.2,4090.2,"2022-01-17",533.5,"2269N0087513Y","69003",48.1,19.3,"appartement",195.2,96.9,0,"C",29.891544
150.4,899.4,70.5,2774.3,"2022-01-17",355.3,"2269N0087547G","69003",37.6,15.1,"appartement",172.8,82.7,0,"C",29.891544
87.8,231.1,51.8,1505.8,"2022-02-23",181.4,"2269N0362688P","69003",51.5,0,"appartement",73.6,31.2,0,"B",29.891544
150.4,899.4,70.5,2774.3,"2022-01-18",355.3,"2269N0094735S","69003",37.6,15.1,"appartement",172.8,82.7,0,"C",29.891544
244.2,1873.7,85.7,3521.8,"2022-02-15",425.3,"2269N0296920B","69003",41.7,0,"appartement",146.9,90.3,0,"C",29.891544
581.9,670.1,98.3,7006.5,"2022-09-27",974.5,"2269N2216789E","69003",109,16.4,"appartement",277.8,77,0,"C",29.891544
244,484.4,108.5,3759.5,"2022-03-08",444,"2269N0459423E","69003",51.5,0,"appartement",163.3,76.7,0,"C",29.891544
347.4,231.1,203.2,5207.2,"2022-03-08",633.1,"2269N0459410R","69003",82.2,0,"appartement",207.1,68.1,0,"C",29.891544
299.9,899.4,117.6,4326.6,"2022-01-18",568,"2269N0094728L","69003",62.8,25.2,"appartement",214.5,79,0,"C",29.891544
312.6,899.4,117.7,4420.6,"2022-01-18",580.7,"2269N0094722F","69003",62.8,25.2,"appartement",214.5,80.7,0,"C",29.891544
206.2,899.4,75.6,3246,"2022-01-18",419.2,"2269N0094733Q","69003",40.3,16.2,"appartement",178.6,91,0,"C",29.891544
1007.8,231.1,313.9,13010.2,"2022-03-08",1523.9,"2269N0459324J","69003",60.6,0,"appartement",409.9,223.9,0,"D",29.891544
183,NA,27.7,3411.4,"2022-04-08",463.1,"2269N0742660X","69003",43.6,21.8,"appartement",230.6,85.7,0,"C",29.891544
358.8,NA,54.3,4871.9,"2022-04-08",674.9,"2269N0742623M","69003",85.5,42.8,"appartement",218.9,63.7,0,"C",29.891544
134.6,484.4,83,2085.3,"2022-03-08",253.9,"2269N0459309U","69003",82.6,0,"appartement",87.2,27.2,0,"A",29.891544
965.5,231.1,425.8,13208.6,"2022-03-08",1569.3,"2269N0459318D","69003",82.2,0,"appartement",459.8,169.6,0,"D",29.891544
948,231.1,148,14280.4,"2022-03-08",1725,"2269N0459409Q","69003",231.1,0,"immeuble",580,66.1,0,"C",29.891544
294.9,1873.7,128.9,4252,"2022-02-15",519.8,"2269N0296893A","69003",62.7,0,"appartement",173.5,73.3,0,"C",29.891544
398.9,1873.7,129.2,5141,"2022-02-15",624.1,"2269N0296896D","69003",62.9,0,"appartement",173.7,87.8,0,"C",29.891544
13200,8332,7788,399468.1,"2022-01-25",49905,"2269N0146221Y","69003",8332,294,"immeuble",1595,67.9,16154,"A",29.891544
324.5,1873.7,126.1,4489.2,"2022-02-15",547,"2269N0296919A","69003",61.4,0,"appartement",172.2,78.8,0,"C",29.891544
600.9,670.1,81.6,6888.9,"2022-09-27",951.2,"2269N2216803S","69003",90.5,13.6,"appartement",255,90,0,"C",29.891544
304,NA,23.5,4235.8,"2022-04-07",559.2,"2269N0730314B","69003",37.1,18.5,"appartement",213.2,122,0,"C",29.891544
138.2,231.1,64.1,2018.9,"2022-02-23",242,"2269N0362685M","69003",63.8,0,"appartement",78.9,33.6,0,"B",29.891544
387.1,1873.7,126,5022.9,"2022-02-15",609.5,"2269N0296931M","69003",61.3,0,"appartement",172.1,88,0,"C",29.891544
368.7,1873.7,167.5,5098,"2022-02-15",627.2,"2269N0296913U","69003",81.5,0,"appartement",191.7,67.9,0,"C",29.891544
208.5,NA,31.6,3761,"2022-04-08",511.5,"2269N0744074H","69003",49.7,24.8,"appartement",246.6,83.1,0,"C",29.891544
763,1873.7,224.6,8780.9,"2022-02-15",1071.1,"2269N0296940V","69003",109.3,0,"appartement",218.5,86.6,0,"C",29.891544
186.1,NA,28.2,3453.5,"2022-04-08",469,"2269N0743935Y","69003",44.3,22.2,"appartement",232.5,85.4,0,"C",29.891544
178.3,NA,27,3346.8,"2022-04-08",454.2,"2269N0743990B","69003",42.5,21.3,"appartement",227.6,86.3,0,"C",29.891544
498.3,670.1,103.1,6463.2,"2022-09-27",902.9,"2269N2216801Q","69003",114.3,17.2,"appartement",284.3,68,0,"C",29.891544
355.6,NA,53.8,4834,"2022-04-08",669.5,"2269N0742803K","69003",84.7,42.4,"appartement",217.8,63.8,0,"C",29.891544
150.4,899.4,70.5,2774.3,"2022-01-17",355.3,"2269N0087676F","69003",37.6,15.1,"appartement",172.8,82.7,0,"C",29.891544
510.4,339.3,46,6906.9,"2022-11-15",777.3,"2269N2702636P","69003",82,30.6,"appartement",190.3,91,0,"C",29.891544
156.1,231.1,82.6,2273.9,"2022-02-23",275,"2269N0362684L","69003",82.2,0,"appartement",87,29.6,0,"B",29.891544
397,670.1,57.1,5007,"2022-09-27",685.1,"2269N2216800P","69003",63.3,9.5,"appartement",221.5,93,0,"C",29.891544
358.8,NA,54.3,4871.9,"2022-04-08",674.9,"2269N0742457C","69003",85.5,42.8,"appartement",218.9,63.7,0,"C",29.891544
178.3,NA,27,3346.8,"2022-04-08",454.2,"2269N0744089W","69003",42.5,21.3,"appartement",227.6,86.3,0,"C",29.891544
660.9,484.4,331,10004.3,"2022-02-23",1190.4,"2269N0362694V","69003",63.9,0,"appartement",417.5,165.4,0,"D",29.891544
264.9,484.4,145.7,4142.9,"2022-03-08",494.8,"2269N0459421C","69003",69.2,0,"appartement",180.5,63.4,0,"C",29.891544
150.4,899.4,70.5,2774.3,"2022-01-18",355.3,"2269N0094727K","69003",37.6,15.1,"appartement",172.8,82.7,0,"C",29.891544
155.2,NA,23.5,3028.3,"2022-04-08",410.1,"2269N0744052L","69003",37,18.5,"appartement",213,89.6,0,"C",29.891544
389.1,422.4,37.6,5284.8,"2022-11-15",645.9,"2269N2702625E","69003",64.5,23.5,"appartement",195.6,88,0,"C",29.891544
660.9,231.1,331,10004.3,"2022-03-08",1190.4,"2269N0459320F","69003",63.9,0,"appartement",417.5,165.4,0,"D",29.891544
381,670.1,69.9,5086.8,"2022-09-27",701.6,"2269N2216791G","69003",77.5,11.7,"appartement",239,78,0,"C",29.891544
238.8,899.4,67.7,3392.9,"2022-01-18",439.2,"2269N0094730N","69003",36.1,14.5,"appartement",169.6,106.4,0,"C",29.891544
189.1,NA,28.6,3495.1,"2022-04-08",474.7,"2269N0743949M","69003",45.1,22.5,"appartement",234.4,85.1,0,"C",29.891544
611.2,899.4,190.1,7153.5,"2022-01-17",958.6,"2269N0087509U","69003",101.5,40.7,"appartement",260.7,82.2,0,"C",29.891544
385.6,899.4,100.3,4832.5,"2022-01-18",634.8,"2269N0094737U","69003",53.6,21.5,"appartement",203.4,103.5,0,"C",29.891544
267.1,NA,40.4,3809.9,"2022-04-08",525.9,"2269N0744109Q","69003",63.7,31.8,"appartement",186.5,66.7,0,"C",29.891544
155.3,NA,23.5,3030,"2022-04-08",410.4,"2269N0742571M","69003",37,18.5,"appartement",213,89.6,0,"C",29.891544
374.1,484.4,173.9,5266,"2022-03-08",626.5,"2269N0459422D","69003",82.6,0,"appartement",193.6,67.4,0,"C",29.891544
325.4,670.1,66,4617.1,"2022-09-27",636.2,"2269N2216797M","69003",73.2,11,"appartement",233.7,75,0,"C",29.891544
377.4,1873.7,126,4940.3,"2022-02-15",599.9,"2269N0296899G","69003",61.3,0,"appartement",172.2,86.5,0,"C",29.891544
382.2,339.3,50.1,5504.8,"2022-11-15",681.3,"2269N2702634N","69003",89.4,33.4,"appartement",215.6,67,0,"C",29.891544
400.1,201.7,47.8,4222.8,"2022-11-15",635.1,"2269N2702655I","69003",74.6,20.9,"appartement",166.3,72,0,"B",29.891544
440.2,899.4,150.2,5599.8,"2022-01-18",743.9,"2269N0094724H","69003",80.2,32.2,"appartement",235.2,80.8,0,"C",29.891544
183,NA,27.7,3411.4,"2022-04-08",463.1,"2269N0742510D","69003",43.6,21.8,"appartement",230.6,85.7,0,"C",29.891544
358.1,NA,54.2,4863.1,"2022-04-08",673.6,"2269N0742692D","69003",85.3,42.7,"appartement",218.7,63.7,0,"C",29.891544
357.3,1873.7,178.3,5061.6,"2022-02-15",625.2,"2269N0296936R","69003",86.8,0,"appartement",196.8,63.6,0,"C",29.891544
122.3,NA,18.5,2576.5,"2022-04-08",347.6,"2269N0742438J","69003",29.1,14.6,"appartement",192.2,96.3,0,"C",29.891544
965.5,484.4,425.8,13208.6,"2022-02-23",1569.3,"2269N0362693U","69003",82.2,0,"appartement",459.8,169.6,0,"D",29.891544
113.3,2945.8,23.1,3030.1,"2022-06-15",284.2,"2269N1327289Q","69003",41.1,39.6,"appartement",108.2,80,0,"B",29.891544
148.9,2945.8,30.4,3732.3,"2022-06-15",353.8,"2269N1327308J","69003",54,52.1,"appartement",122.5,75,0,"B",29.891544
113.4,2945.8,23.1,3032.9,"2022-06-15",284.4,"2269N1327343S","69003",41.1,39.7,"appartement",108.2,80,0,"B",29.891544
339.5,NA,51.4,4647.8,"2022-04-08",643.4,"2269N0744100H","69003",80.9,40.5,"appartement",212.1,64.2,0,"C",29.891544
169,2945.8,34.5,4093,"2022-06-15",390.3,"2269N1327336L","69003",61.3,59.1,"appartement",127.7,73,0,"B",29.891544
114,2945.8,23.2,3044.2,"2022-06-15",285.6,"2269N1327280H","69003",41.3,39.9,"appartement",108.5,80,0,"B",29.891544
113.4,2945.8,23.1,3032.9,"2022-06-15",284.4,"2269N1327350Z","69003",41.1,39.7,"appartement",108.2,80,0,"B",29.891544
115.2,2945.8,23.5,3068.6,"2022-06-15",288,"2269N1327307I","69003",41.8,40.3,"appartement",109,80,0,"B",29.891544
113.4,2945.8,23.1,3032.9,"2022-06-15",284.4,"2269N1327326B","69003",41.1,39.7,"appartement",108.2,80,0,"B",29.891544
524.9,484.4,167.6,6577.9,"2022-03-08",772.3,"2269N0459424F","69003",79.6,0,"appartement",190.6,86.4,0,"C",29.891544
393.7,580,62.2,4382.8,"2022-06-15",1271.3,"2269N1329473Q","69003",110.5,79.9,"appartement",539.3,91,196.2,"B",29.891544
166.5,2945.8,34,4047.1,"2022-06-15",385.7,"2269N1327260N","69003",60.4,58.2,"appartement",127,73,0,"B",29.891544
228.3,2945.8,46.6,5154.9,"2022-06-15",497.8,"2269N1327295W","69003",82.8,79.8,"appartement",143.1,69,0,"A",29.891544
114.3,2945.8,23.3,3049.9,"2022-06-15",286.1,"2269N1327297Y","69003",41.4,39.9,"appartement",108.6,80,0,"B",29.891544
168.4,580,17.1,1977.6,"2022-06-15",573.6,"2269N1329481Y","69003",30.4,21.9,"appartement",312.4,149,53.9,"C",29.891544
96.1,2945.8,19.6,2676.5,"2022-06-15",249.4,"2269N1327302D","69003",34.8,33.6,"appartement",100.2,83,0,"B",29.891544
169,2945.8,34.5,4093,"2022-06-15",390.3,"2269N1327345U","69003",61.3,59.1,"appartement",127.7,73,0,"B",29.891544
120.3,2945.8,24.5,3173.2,"2022-06-15",298.2,"2269N1327277E","69003",43.6,42,"appartement",111.4,79,0,"B",29.891544
115.4,2945.8,23.5,3074.2,"2022-06-15",288.5,"2269N1327312N","69003",41.9,40.4,"appartement",109.2,80,0,"B",29.891544
106.8,2945.8,21.8,2896,"2022-06-15",271,"2269N1327311M","69003",38.7,37.3,"appartement",105.1,81,0,"B",29.891544
433.7,484.4,173.1,5793.1,"2022-03-08",685.5,"2269N0459419A","69003",82.2,0,"appartement",193.2,74.1,0,"C",29.891544
156.1,484.4,82.6,2273.9,"2022-03-08",275,"2269N0459303O","69003",82.2,0,"appartement",87,29.6,0,"B",29.891544
250.4,1873.7,109.8,3765.2,"2022-02-15",458.6,"2269N0296918Z","69003",53.4,0,"appartement",164.5,75.9,0,"C",29.891544
120.5,2945.8,24.6,3178.9,"2022-06-15",298.8,"2269N1327262P","69003",43.7,42.1,"appartement",111.5,79,0,"B",29.891544
114.8,2945.8,23.4,3060.7,"2022-06-15",287.2,"2269N1327283K","69003",41.6,40.1,"appartement",108.9,80,0,"B",29.891544
362.7,231.1,149.8,5071,"2022-03-08",605.2,"2269N0459415W","69003",60.6,0,"appartement",184.6,88.6,0,"C",29.891544
106.8,2945.8,21.8,2896,"2022-06-15",271,"2269N1327330F","69003",38.7,37.3,"appartement",105.1,81,0,"B",29.891544
114.6,2945.8,23.4,3057.8,"2022-06-15",286.9,"2269N1327271Y","69003",41.6,40.1,"appartement",108.8,80,0,"B",29.891544
188.9,231.1,80,2552.3,"2022-02-23",305.7,"2269N0362689Q","69003",79.6,0,"appartement",85.8,34.1,0,"B",29.891544
544.8,580,68.6,5117.8,"2022-06-15",1484.5,"2269N1329479W","69003",121.9,88.2,"appartement",566.4,96,216.5,"B",29.891544
169,2945.8,34.5,4093,"2022-06-15",390.3,"2269N1327317S","69003",61.3,59.1,"appartement",127.7,73,0,"B",29.891544
228.3,2945.8,46.6,5154.9,"2022-06-15",497.8,"2269N1327298Z","69003",82.8,79.8,"appartement",143.1,69,0,"A",29.891544
144.6,580,19.9,2021.8,"2022-06-15",586.5,"2269N1329471O","69003",35.4,25.6,"appartement",333.6,131,62.8,"C",29.891544
106.8,2945.8,21.8,2896,"2022-06-15",271,"2269N1327319U","69003",38.7,37.3,"appartement",105.1,81,0,"B",29.891544
106.8,2945.8,21.8,2896,"2022-06-15",271,"2269N1327337M","69003",38.7,37.3,"appartement",105.1,81,0,"B",29.891544
114.9,2945.8,23.4,3064.1,"2022-06-15",287.5,"2269N1327293U","69003",41.7,40.2,"appartement",108.9,80,0,"B",29.891544
231.1,2945.8,47.1,5204.8,"2022-06-15",502.8,"2269N1327347W","69003",83.8,80.8,"appartement",143.8,68,0,"A",29.891544
368.2,580,61.9,4285.3,"2022-06-15",1243,"2269N1329476T","69003",110,79.6,"appartement",538.1,89,195.3,"B",29.891544
120.3,2945.8,24.5,3173.2,"2022-06-15",298.2,"2269N1327264R","69003",43.6,42,"appartement",111.4,79,0,"B",29.891544
113.4,2945.8,23.1,3032.9,"2022-06-15",284.4,"2269N1327335K","69003",41.1,39.7,"appartement",108.2,80,0,"B",29.891544
231.1,2945.8,47.1,5204.8,"2022-06-15",502.8,"2269N1327331G","69003",83.8,80.8,"appartement",143.8,68,0,"A",29.891544
115.2,2945.8,23.5,3068.6,"2022-06-15",288,"2269N1327323Y","69003",41.8,40.3,"appartement",109,80,0,"B",29.891544
114.3,2945.8,23.3,3049.9,"2022-06-15",286.1,"2269N1327300B","69003",41.4,39.9,"appartement",108.6,80,0,"B",29.891544
115.2,2945.8,23.5,3068.6,"2022-06-15",288,"2269N1327313O","69003",41.8,40.3,"appartement",109,80,0,"B",29.891544
120.3,2945.8,24.5,3173.2,"2022-06-15",298.2,"2269N1327286N","69003",43.6,42,"appartement",111.4,79,0,"B",29.891544
178.4,2945.8,36.4,4260.5,"2022-06-15",407.3,"2269N1327334J","69003",64.7,62.4,"appartement",130.1,72,0,"B",29.891544
169,2945.8,34.5,4093,"2022-06-15",390.3,"2269N1327329E","69003",61.3,59.1,"appartement",127.7,73,0,"B",29.891544
178.4,2945.8,36.4,4260.5,"2022-06-15",407.3,"2269N1327314P","69003",64.7,62.4,"appartement",130.1,72,0,"B",29.891544
9408,3150.1,3181,199243.1,"2022-02-15",22079,"2269N0295537W","69003",3150.1,0,"immeuble",1228,82.7,5081,"B",29.891544
178.2,2945.8,36.3,4257.6,"2022-06-15",407,"2269N1327341Q","69003",64.6,62.3,"appartement",130.1,72,0,"B",29.891544
115.4,2945.8,23.5,3074.2,"2022-06-15",288.5,"2269N1327320V","69003",41.9,40.4,"appartement",109.2,80,0,"B",29.891544
499.8,1873.7,202.5,6412.7,"2022-02-15",788.7,"2269N0296933O","69003",98.5,0,"appartement",208.1,70.7,0,"C",29.891544
115.1,2945.8,23.5,3066.3,"2022-06-15",287.7,"2269N1327306H","69003",41.7,40.2,"appartement",109,80,0,"B",29.891544
114,2945.8,23.2,3044.2,"2022-06-15",285.6,"2269N1327273A","69003",41.3,39.9,"appartement",108.5,80,0,"B",29.891544
173.8,2945.8,35.5,4179,"2022-06-15",399,"2269N1327275C","69003",63.1,60.8,"appartement",128.9,73,0,"B",29.891544
256.5,1873.7,142.9,4003.8,"2022-02-15",493.6,"2269N0296915W","69003",69.6,0,"appartement",180.1,62.6,0,"C",29.891544
178.4,2945.8,36.4,4260.5,"2022-06-15",407.3,"2269N1327324Z","69003",64.7,62.4,"appartement",130.1,72,0,"B",29.891544
173.8,2945.8,35.5,4179,"2022-06-15",399,"2269N1327282J","69003",63.1,60.8,"appartement",128.9,73,0,"B",29.891544
173.8,2945.8,35.5,4179,"2022-06-15",399,"2269N1327291S","69003",63.1,60.8,"appartement",128.9,73,0,"B",29.891544
113.3,2945.8,23.1,3030.1,"2022-06-15",284.2,"2269N1327266T","69003",41.1,39.6,"appartement",108.2,80,0,"B",29.891544
173.8,2945.8,35.5,4179,"2022-06-15",399,"2269N1327299A","69003",63.1,60.8,"appartement",128.9,73,0,"B",29.891544
97.5,2945.8,19.9,2706.5,"2022-06-15",252.3,"2269N1327257K","69003",35.4,34.1,"appartement",100.8,83,0,"B",29.891544
228.3,2945.8,46.6,5154.9,"2022-06-15",497.8,"2269N1327290R","69003",82.8,79.8,"appartement",143.1,69,0,"A",29.891544
113.3,2945.8,23.1,3030.1,"2022-06-15",284.2,"2269N1327278F","69003",41.1,39.6,"appartement",108.2,80,0,"B",29.891544
114.6,2945.8,23.4,3057.8,"2022-06-15",286.9,"2269N1327279G","69003",41.6,40.1,"appartement",108.8,80,0,"B",29.891544
607.8,201.7,67.6,6333.4,"2022-11-15",887.3,"2269N2702654H","69003",118,29.6,"appartement",182.4,67,0,"B",29.891544
310.7,NA,47,4314.4,"2022-04-08",596.7,"2269N0743869K","69003",74,37,"appartement",201.9,65,0,"C",29.891544
362,123.5,42,3068,"2022-03-02",588,"2269N0418158B","69003",123.5,0,"maison",148,57.1,0,"A",29.891544
167.5,2945.8,34.2,4064.9,"2022-06-15",387.5,"2269N1327310L","69003",60.7,58.6,"appartement",127.3,73,0,"B",29.891544
106.8,2945.8,21.8,2896,"2022-06-15",271,"2269N1327346V","69003",38.7,37.3,"appartement",105.1,81,0,"B",29.891544
408.8,580,46.1,3900.6,"2022-06-15",1131.5,"2269N1329472P","69003",82,59.3,"appartement",471.6,109,145.6,"B",29.891544
105,2945.8,21.4,2860.9,"2022-06-15",267.5,"2269N1327258L","69003",38.1,36.7,"appartement",104.3,81,0,"B",29.891544
147,484.4,79.9,2178.7,"2022-03-08",263.7,"2269N0459302N","69003",79.5,0,"appartement",85.8,29.4,0,"A",29.891544
2635,484.4,311,36223.1,"2022-03-08",4285,"2269N0459417Y","69003",484.4,0,"immeuble",1287,78.6,0,"C",29.891544
231.1,2945.8,47.1,5204.8,"2022-06-15",502.8,"2269N1327339O","69003",83.8,80.8,"appartement",143.8,68,0,"A",29.891544
173.8,2945.8,35.5,4179,"2022-06-15",399,"2269N1327296X","69003",63.1,60.8,"appartement",128.9,73,0,"B",29.891544
188.1,899.4,75.6,3112.7,"2022-01-18",401.1,"2269N0094718B","69003",40.3,16.2,"appartement",178.6,87.1,0,"C",29.891544
155.9,NA,23.6,3038.1,"2022-04-08",411.5,"2269N0742705Q","69003",37.1,18.6,"appartement",213.4,89.5,0,"C",29.891544
487,172.9,65,3666.1,"2022-06-15",678,"2269N1327325A","69003",172.9,12,"maison",114,48.8,0,"A",29.891544
113.4,2945.8,23.1,3032.9,"2022-06-15",284.4,"2269N1327316R","69003",41.1,39.7,"appartement",108.2,80,0,"B",29.891544
256.6,580,50.6,3523.4,"2022-06-15",1022,"2269N1329469M","69003",89.9,65,"appartement",490.3,90,159.6,"B",29.891544
174.7,2945.8,35.6,4193.8,"2022-06-15",400.5,"2269N1327348X","69003",63.4,61.1,"appartement",129.2,73,0,"B",29.891544
2635,231.1,311,36223.1,"2022-03-08",4285,"2269N0459316B","69003",231.1,0,"immeuble",1287,164.8,0,"D",29.891544
174,NA,26.3,3287.3,"2022-04-08",446,"2269N0742757Q","69003",41.5,20.7,"appartement",224.9,86.8,0,"C",29.891544
306.5,331.6,457.1,2981.6,"2024-03-14",564.5,"2469N0926190V","69003",153.7,0,"maison",149.9,44.6,0,"A",29.87532
660.3,2192.5,192.9,5517.1,"2024-07-25",828.4,"2469N2695109E","69003",88.9,11.3,"appartement",77.5,69.1,0,"C",29.87532
735.9,2192.5,250.5,8782,"2024-06-11",1037.3,"2469N2080709K","69003",115.5,14.7,"appartement",203.1,79.8,0,"C",29.87532
306.6,NA,43.7,4590.9,"2024-04-12",667.2,"2469N1328207A","69003",74.5,11.7,"appartement",305.2,72.1,0,"C",29.87532
385.5,NA,43.8,5224.5,"2024-04-12",746.7,"2469N1328168N","69003",74.7,11.8,"appartement",305.7,80.5,0,"C",29.87532
498,NA,71.4,5966.6,"2024-06-06",703,"2469N2027660B","69003",124.2,79.4,"appartement",54.1,53.4,0,"B",29.87532
13.2,NA,29.8,1898.7,"2024-04-12",550.8,"2469N1330228T","69003",50.8,8,"appartement",499.8,85.9,0,"B",29.87532
353.4,NA,43.7,4952.6,"2024-04-12",645.5,"2469N1329355E","69003",74.5,11.7,"appartement",236.7,70,0,"C",29.87532
278.5,2192.5,140.7,4122.5,"2024-06-11",492.5,"2469N2080639S","69003",64.9,8.3,"appartement",158.8,67.3,0,"C",29.87532
5797,1133.4,675,80417.2,"2024-06-25",9932,"2469N2284164P","69003",1133.4,84,"immeuble",3207,77.2,0,"C",29.87532
448.5,1133.4,172.1,5859.1,"2024-06-25",693.9,"2469N2284214N","69003",83.7,21.5,"appartement",176.8,73.7,0,"C",29.87532
361.2,1029.5,136.4,4516.3,"2024-04-16",620.3,"2469N1365682J","69003",61.3,16,"appartement",199,88.7,0,"C",29.87532
262.7,595.4,122.4,4029.6,"2024-06-25",480.2,"2469N2284153E","69003",60.4,24.5,"appartement",165.5,70.6,0,"C",29.87532
418.9,616.9,176.6,5659.5,"2024-04-16",700,"2469N1365191M","69003",86.3,11,"appartement",210.7,71.5,0,"C",29.87532
387.4,NA,45,5259.3,"2024-04-12",685,"2469N1329332H","69003",76.7,12.1,"appartement",240.6,72.2,0,"C",29.87532
593.6,2192.5,231.7,7409.1,"2024-06-11",880,"2469N2080690R","69003",106.8,13.6,"appartement",195.5,73.1,0,"C",29.87532
223.4,595.4,92.3,3477.7,"2024-06-25",411,"2469N2284138P","69003",45.5,18.5,"appartement",148.3,80.2,0,"C",29.87532
253.7,1133.4,136,3919.1,"2024-06-25",469.3,"2469N2284194T","69003",66.1,17,"appartement",161.3,62.9,0,"C",29.87532
680.2,2192.5,62.8,2184,"2024-07-25",758.3,"2469N2695735G","69003",28.9,3.7,"appartement",48.6,173.6,0,"C",29.87532
361.9,862.3,76,2739.1,"2024-07-19",951,"2469N2625671M","69003",38.8,0,"appartement",557.1,162.4,0,"C",29.87532
654.2,NA,63.2,6940,"2024-09-10",1036.6,"2469N3132266X","69003",90.2,17,"appartement",302.2,80.7,0,"C",29.87532
449.1,NA,43.8,5718.9,"2024-04-12",741.7,"2469N1329309K","69003",74.7,11.8,"appartement",237.1,80.2,0,"C",29.87532
357.5,616.9,166.2,5079.6,"2024-04-16",629.2,"2469N1366179M","69003",81.2,10.4,"appartement",205.4,68.3,0,"C",29.87532
345.8,NA,41.6,4831.7,"2024-04-12",629.2,"2469N1329362L","69003",71,11.2,"appartement",230.7,71.6,0,"C",29.87532
469.3,1133.4,168.6,6028.5,"2024-06-25",711.9,"2469N2284174Z","69003",81.9,21.1,"appartement",175.3,77.2,0,"C",29.87532
182.2,595.4,86,3051.6,"2024-06-25",361.9,"2469N2284152D","69003",42.4,17.2,"appartement",143.2,75.7,0,"C",29.87532
339.4,2192.5,118,4557.4,"2024-06-11",535.4,"2469N2080706H","69003",54.4,6.9,"appartement",149.7,87.6,0,"C",29.87532
472.5,NA,56.7,3729.2,"2024-02-23",687.9,"2469N0664808R","69003",170.5,26.5,"maison",132.3,50,0,"A",29.87532
470.5,595.4,176.5,6201.4,"2024-06-25",736,"2469N2284137O","69003",87.1,35.3,"appartement",190.4,75.1,0,"C",29.87532
281,NA,32.6,4054.4,"2024-04-12",526.3,"2469N1329390N","69003",55.6,8.7,"appartement",203.9,76.5,0,"C",29.87532
