"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
492.5,2177.1,181.5,6335.7,"2024-06-20",748.5,"2469N2208402R","69170",81.5,10.7,"appartement",184.8,81.7,0,"C",33.74786
126.7,2177.1,72,2042.1,"2024-06-20",592.4,"2469N2208410Z","69170",32.3,4.2,"appartement",437.4,145.4,0,"C",33.74786
525.6,2177.1,211.2,6785.6,"2024-06-20",805.7,"2469N2208415E","69170",94.8,12.4,"appartement",197.3,75.4,0,"C",33.74786
149.8,2177.1,88.6,2711.3,"2024-06-20",323,"2469N2208391G","69170",39.8,5.2,"appartement",138.4,72.1,0,"C",33.74786
141.3,2177.1,88.5,2634.3,"2024-06-20",314.4,"2469N2208386B","69170",39.7,5.2,"appartement",138.3,70.2,0,"C",33.74786
161.3,2177.1,93.1,2851.6,"2024-06-20",339.7,"2469N2208373O","69170",41.8,5.5,"appartement",141.8,72.1,0,"C",33.74786
297.5,2177.1,138.7,4363.1,"2024-06-20",518.8,"2469N2208361C","69170",62.3,8.2,"appartement",166.9,74,0,"C",33.74786
273.1,2177.1,104.8,3951.8,"2024-06-20",464.8,"2469N2208359A","69170",47.1,6.2,"appartement",150.6,87.9,0,"C",33.74786
359.1,2177.1,133.6,4891.2,"2024-06-20",576.3,"2469N2208324R","69170",60,7.9,"appartement",164.8,85.5,0,"C",33.74786
248.9,2177.1,92.4,3633.3,"2024-06-20",426.4,"2469N2208316J","69170",41.5,5.4,"appartement",141.2,91.5,0,"C",33.74786
177.9,2177.1,88,2959.6,"2024-06-20",350.4,"2469N2208319M","69170",39.5,5.2,"appartement",138,78.8,0,"C",33.74786
377.4,2177.1,133,5052.4,"2024-06-20",594.1,"2469N2208404T","69170",59.7,7.8,"appartement",164.5,88.5,0,"C",33.74786
258.1,2177.1,132.9,3980,"2024-06-20",474.8,"2469N2208408X","69170",59.7,7.8,"appartement",164.5,70.6,0,"C",33.74786
213.1,2177.1,132.9,3575.2,"2024-06-20",429.8,"2469N2208382X","69170",59.7,7.8,"appartement",164.5,63.8,0,"C",33.74786
161.3,2177.1,93.1,2851.6,"2024-06-20",339.7,"2469N2208401Q","69170",41.8,5.5,"appartement",141.8,72.1,0,"C",33.74786
423.7,2177.1,160.1,5607.5,"2024-06-20",662.4,"2469N2208416F","69170",71.9,9.4,"appartement",175.9,81.9,0,"C",33.74786
213.1,2177.1,132.9,3575.2,"2024-06-20",429.8,"2469N2208396L","69170",59.7,7.8,"appartement",164.5,63.8,0,"C",33.74786
226.9,2177.1,132.9,3699.4,"2024-06-20",443.6,"2469N2208369K","69170",59.7,7.8,"appartement",164.5,65.9,0,"C",33.74786
342.4,2177.1,134.6,4746.5,"2024-06-20",560.4,"2469N2208388D","69170",60.4,7.9,"appartement",165.2,82.5,0,"C",33.74786
140.9,2177.1,88.6,2630.8,"2024-06-20",314,"2469N2208366H","69170",39.8,5.2,"appartement",138.4,70.1,0,"C",33.74786
161.3,2177.1,93.1,2851.6,"2024-06-20",339.7,"2469N2208413C","69170",41.8,5.5,"appartement",141.8,72.1,0,"C",33.74786
297.9,2177.1,134.6,4345.5,"2024-06-20",515.8,"2469N2208377S","69170",60.4,7.9,"appartement",165.2,75.8,0,"C",33.74786
349,2177.1,138.7,4826.4,"2024-06-20",570.3,"2469N2208390F","69170",62.3,8.2,"appartement",166.9,81.4,0,"C",33.74786
177.4,2177.1,88.1,2955.8,"2024-06-20",350,"2469N2208355W","69170",39.6,5.2,"appartement",138.1,78.6,0,"C",33.74786
161.3,2177.1,93.1,2851.6,"2024-06-20",339.7,"2469N2208385A","69170",41.8,5.5,"appartement",141.8,72.1,0,"C",33.74786
141.3,2177.1,88.5,2634.3,"2024-06-20",314.4,"2469N2208374P","69170",39.7,5.2,"appartement",138.3,70.2,0,"C",33.74786
272,NA,62,2304,"2024-06-25",652,"2469N2284969O","69170",90,43,"maison",275,58.8,0,"A",33.74786
